YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,WS10M_MAX,WS10M_MIN,,Date
1991,1,1,29.08,14.9,-258.98,0.41,8.74,4.27,,1991-01-01
1991,1,2,30.37,14.49,-257.27,1.18,7.62,3.55,,1991-01-02
1991,1,3,30.15,14.38,-257.38,0.14,7.35,3.63,,1991-01-03
1991,1,4,30.44,14.31,-257.02,0,7.45,3.62,,1991-01-04
1991,1,5,30.32,15.62,-258.45,0.06,6.55,3.12,,1991-01-05
1991,1,6,29.63,15.87,-259.39,2.33,6.55,3.11,,1991-01-06
1991,1,7,28.96,16.05,-260.24,4.85,6.91,3.09,,1991-01-07
1991,1,8,28.69,14.35,-258.81,1.9,7.26,3.44,,1991-01-08
1991,1,9,29.23,13.17,-257.09,0.07,8.48,3.47,,1991-01-09
1991,1,10,30.1,13.66,-256.72,0,7.63,3.59,,1991-01-10
1991,1,11,29.82,13.8,-257.13,0,7.86,3.52,,1991-01-11
1991,1,12,29.94,15.07,-258.27,0,8.34,4.67,,1991-01-12
1991,1,13,28.93,13.55,-257.77,0,9.67,4.68,,1991-01-13
1991,1,14,30.12,13.08,-256.11,0,9.06,4.47,,1991-01-14
1991,1,15,31.42,13.15,-254.88,0,8.97,4.36,,1991-01-15
1991,1,16,31.08,13.33,-255.41,0,9.42,4.77,,1991-01-16
1991,1,17,30.6,14.1,-256.64,0,9.48,4.79,,1991-01-17
1991,1,18,30.47,13.15,-255.84,0,9.32,5.37,,1991-01-18
1991,1,19,30.37,12.37,-255.17,0,10.27,5.18,,1991-01-19
1991,1,20,30.61,12.74,-255.28,0,10.25,4.59,,1991-01-20
1991,1,21,31.38,13.41,-255.17,0,10.54,5.13,,1991-01-21
1991,1,22,31.02,14.91,-257.04,0,10.78,4.38,,1991-01-22
1991,1,23,31.29,14.63,-256.49,0.01,9.91,4.39,,1991-01-23
1991,1,24,30.73,15.57,-257.99,0.12,7.83,3.73,,1991-01-24
1991,1,25,31.15,16.4,-258.4,0.08,7.03,0.14,,1991-01-25
1991,1,26,31.02,18.05,-260.18,3.27,7.02,1.2,,1991-01-26
1991,1,27,30.26,16.97,-259.86,3.56,6.88,1.92,,1991-01-27
1991,1,28,29.98,16.29,-259.46,0.24,8.33,3.9,,1991-01-28
1991,1,29,29.62,15.7,-259.24,0.01,7.95,4.12,,1991-01-29
1991,1,30,30.98,15.39,-257.56,0.02,6.62,2.59,,1991-01-30
1991,1,31,30.03,15.48,-258.6,0.3,6.13,2.69,,1991-01-31
1991,2,1,30.82,15.62,-257.96,0,8.56,4.2,,1991-02-01
1991,2,2,30.26,14.29,-257.17,0,10.91,5.29,,1991-02-02
1991,2,3,31.02,13.67,-255.8,0,9.27,4.31,,1991-02-03
1991,2,4,32.19,14.37,-255.33,0,7.76,4.45,,1991-02-04
1991,2,5,32.33,14.78,-255.6,0,9.43,4.87,,1991-02-05
1991,2,6,32.45,14.9,-255.6,0,7.88,4.52,,1991-02-06
1991,2,7,32.06,15.51,-256.6,0,7.35,3.13,,1991-02-07
1991,2,8,30.88,15.26,-257.52,0.64,6.46,1.29,,1991-02-08
1991,2,9,32.77,15.32,-255.7,0.67,6.14,2.98,,1991-02-09
1991,2,10,31.98,15.4,-256.56,0.02,7.83,3.42,,1991-02-10
1991,2,11,30.01,16.36,-259.5,0.63,7.31,3.7,,1991-02-11
1991,2,12,30.33,18.15,-260.96,2.72,7.02,3.58,,1991-02-12
1991,2,13,30.03,16.12,-259.24,0,8.84,4.67,,1991-02-13
1991,2,14,29.56,16.48,-260.07,0,6.72,3.3,,1991-02-14
1991,2,15,30.39,16.55,-259.31,0,8.21,4.65,,1991-02-15
1991,2,16,29.51,15.88,-259.52,0.17,10.54,5.04,,1991-02-16
1991,2,17,30.12,15.9,-258.92,1.9,10.6,3.72,,1991-02-17
1991,2,18,29.31,16.51,-260.35,0.65,7.98,2.67,,1991-02-18
1991,2,19,30.72,17.94,-260.37,0.17,5.83,1.32,,1991-02-19
1991,2,20,31.23,18.78,-260.69,1.64,6.52,0.95,,1991-02-20
1991,2,21,30.21,18.64,-261.58,0.14,6.76,2.59,,1991-02-21
1991,2,22,31.75,17.9,-259.31,0,10.34,5.19,,1991-02-22
1991,2,23,31.23,17.69,-259.6,0.57,8.83,5.53,,1991-02-23
1991,2,24,31.48,16.81,-258.49,1.12,8.88,4.59,,1991-02-24
1991,2,25,31.12,15.48,-257.51,1.05,8.17,3.77,,1991-02-25
1991,2,26,32.46,14.99,-255.67,0,8.77,5.44,,1991-02-26
1991,2,27,32.58,14.48,-255.05,0.01,7.47,3.91,,1991-02-27
1991,2,28,32.63,14.95,-255.47,2.24,6.56,1.88,,1991-02-28
1991,3,1,32.39,16.51,-257.27,0.61,7.43,2.33,,1991-03-01
1991,3,2,32.75,16.26,-256.67,0.06,8.52,5.34,,1991-03-02
1991,3,3,32.01,15.92,-257.06,0,9.05,5.27,,1991-03-03
1991,3,4,31.65,15.2,-256.7,0.15,8.88,4.96,,1991-03-04
1991,3,5,31.22,16.47,-258.41,0.42,8.08,4.32,,1991-03-05
1991,3,6,30.3,17.11,-259.97,3.32,8.56,3.66,,1991-03-06
1991,3,7,29.63,14.33,-257.85,0.07,7.67,4.92,,1991-03-07
1991,3,8,30.86,16.48,-258.77,0.37,8.25,4.16,,1991-03-08
1991,3,9,29.87,16.06,-259.35,2.49,9.05,4.61,,1991-03-09
1991,3,10,28.5,16.47,-261.12,6.77,8.3,5.23,,1991-03-10
1991,3,11,28.72,16.52,-260.95,13.38,6.71,4.25,,1991-03-11
1991,3,12,27.25,16.32,-262.22,18.12,6.41,2.7,,1991-03-12
1991,3,13,29.38,16.48,-260.25,0.67,7.77,4.23,,1991-03-13
1991,3,14,30.6,14.45,-257,0,8.27,4.6,,1991-03-14
1991,3,15,30.58,14.29,-256.86,0.05,9.43,4.84,,1991-03-15
1991,3,16,30.01,14.67,-257.82,0.06,9.84,5.59,,1991-03-16
1991,3,17,30.71,14.75,-257.19,0,10.45,5.02,,1991-03-17
1991,3,18,29.94,14.62,-257.84,0,11.45,5.33,,1991-03-18
1991,3,19,30.2,14.12,-257.06,0.01,10.55,5.01,,1991-03-19
1991,3,20,29.47,14.13,-257.81,0.05,9.84,5.23,,1991-03-20
1991,3,21,29.96,14.94,-258.13,0.44,8.65,4.62,,1991-03-21
1991,3,22,31.17,15.26,-257.23,0,7.46,3.31,,1991-03-22
1991,3,23,30.97,15.94,-258.12,0.03,6.38,0.62,,1991-03-23
1991,3,24,29.32,17.87,-261.7,0.21,4.42,1.43,,1991-03-24
1991,3,25,29.93,18.57,-261.79,0.7,6.26,2.84,,1991-03-25
1991,3,26,29.66,17.19,-260.67,5.17,7.37,2.31,,1991-03-26
1991,3,27,28.21,17.48,-262.42,16.82,5.3,1.38,,1991-03-27
1991,3,28,28.55,17.45,-262.05,0.48,6.14,2.49,,1991-03-28
1991,3,29,29.57,17.12,-260.69,2.31,7.96,2.95,,1991-03-29
1991,3,30,28.15,16.86,-261.87,1.39,6.24,2.2,,1991-03-30
1991,3,31,27.01,17.43,-263.57,10.64,5.53,2.41,,1991-03-31
1991,4,1,30.02,16.66,-259.79,2.9,7.61,3.99,,1991-04-01
1991,4,2,30.3,15.19,-258.04,0.07,8.15,4.21,,1991-04-02
1991,4,3,29.5,16.39,-260.04,0.83,8.92,4.56,,1991-04-03
1991,4,4,27.81,16.66,-262,3.32,7.81,5.04,,1991-04-04
1991,4,5,28.8,15.73,-260.07,4.99,6.17,3.18,,1991-04-05
1991,4,6,28.81,16.26,-260.6,3.54,6.51,1.84,,1991-04-06
1991,4,7,29.47,16.78,-260.46,0.93,5.93,3.17,,1991-04-07
1991,4,8,29.19,16.8,-260.76,0.89,6.48,4.34,,1991-04-08
1991,4,9,28.17,16.13,-261.12,1.32,6.98,3.32,,1991-04-09
1991,4,10,29.37,16.4,-260.18,0.5,5.35,3.32,,1991-04-10
1991,4,11,28.38,16.01,-260.77,4.22,5.98,3.82,,1991-04-11
1991,4,12,28.44,16.65,-261.36,1.44,8.27,4.76,,1991-04-12
1991,4,13,28.96,16.19,-260.37,0.1,8.65,4.52,,1991-04-13
1991,4,14,29.87,15.24,-258.52,0.08,11.52,4.9,,1991-04-14
1991,4,15,28.94,14.95,-259.17,0.46,10.22,5.17,,1991-04-15
1991,4,16,30.15,14,-256.99,0.11,9.4,4.7,,1991-04-16
1991,4,17,30.56,14.76,-257.36,0.02,8.91,4.54,,1991-04-17
1991,4,18,30.48,15.9,-258.56,0.34,9.14,4.75,,1991-04-18
1991,4,19,29.05,15.42,-259.51,1.5,8.84,5.11,,1991-04-19
1991,4,20,29.47,16.05,-259.74,0.68,9.06,5.4,,1991-04-20
1991,4,21,29.05,15.93,-260.02,1.09,8.88,5.23,,1991-04-21
1991,4,22,28.8,16.22,-260.56,3.33,8.34,4.67,,1991-04-22
1991,4,23,28.87,16.14,-260.41,2.49,6.56,2.62,,1991-04-23
1991,4,24,28.59,15.82,-260.38,3.16,5.49,2.84,,1991-04-24
1991,4,25,27.74,17.02,-262.43,2.01,6.97,4.18,,1991-04-25
1991,4,26,29.67,16.45,-259.94,0.39,8.49,4.46,,1991-04-26
1991,4,27,30.47,16.37,-259.06,0.07,7.36,3.86,,1991-04-27
1991,4,28,27.57,17.49,-263.07,0.16,5.95,2.77,,1991-04-28
1991,4,29,26.44,17.52,-264.24,0.43,5.09,2.58,,1991-04-29
1991,4,30,29.19,16.9,-260.87,0.58,7.1,4.3,,1991-04-30
1991,5,1,27.83,16.83,-262.15,11.39,6.63,4.63,,1991-05-01
1991,5,2,28.99,16.39,-260.55,10.38,8.45,4.3,,1991-05-02
1991,5,3,28.64,16.98,-261.49,5.76,7.23,4.13,,1991-05-03
